Date,Category,Amount,Description
2023-08-27,Rent,7412.05,Rent expense
2023-11-28,Education,9184.86,Education expense
2023-08-26,Shopping,2836.37,Shopping expense
2024-05-14,Transport,8590.5,Transport expense
2024-02-21,Utilities,2957.57,Utilities expense
2024-05-05,Utilities,9112.16,Utilities expense
2024-03-20,Dining,7551.92,Dining expense
2023-09-05,Rent,8058.82,Rent expense
2024-04-23,Shopping,229.17,Shopping expense
2023-12-24,Rent,9629.96,Rent expense
2023-11-28,Education,7280.38,Education expense
2023-07-16,Miscellaneous,3082.27,Miscellaneous expense
2024-01-22,Travel,8302.48,Travel expense
2024-03-20,Subscriptions,2851.14,Subscriptions expense
2023-11-24,Education,8733.9,Education expense
2024-03-31,Healthcare,1170.17,Healthcare expense
2024-01-01,Utilities,7051.68,Utilities expense
2023-10-01,Dining,5429.95,Dining expense
2024-03-01,Rent,1010.52,Rent expense
2024-03-20,Groceries,2456.84,Groceries expense
2023-08-03,Dining,173.42,Dining expense
2024-05-21,Shopping,4714.24,Shopping expense
2023-09-09,Healthcare,3047.59,Healthcare expense
2024-03-05,Miscellaneous,6003.66,Miscellaneous expense
2024-04-23,Utilities,3007.52,Utilities expense
2024-01-03,Healthcare,3034.2,Healthcare expense
2024-04-03,Transport,7444.77,Transport expense
2024-05-12,Miscellaneous,529.02,Miscellaneous expense
2024-05-14,Education,9033.81,Education expense
2023-09-29,Healthcare,8530.03,Healthcare expense
2023-08-08,Rent,6694.66,Rent expense
2023-10-15,Shopping,5952.55,Shopping expense
2024-03-03,Groceries,8928.41,Groceries expense
2024-01-10,Miscellaneous,1894.04,Miscellaneous expense
2024-02-05,Shopping,835.74,Shopping expense
2024-03-18,Entertainment,2433.13,Entertainment expense
2023-10-28,Shopping,7956.05,Shopping expense
2024-02-08,Miscellaneous,394.97,Miscellaneous expense
2023-08-22,Healthcare,5848.93,Healthcare expense
2023-08-21,Transport,9954.6,Transport expense
2023-07-03,Subscriptions,8564.18,Subscriptions expense
2023-12-16,Healthcare,5238.38,Healthcare expense
2023-07-27,Shopping,683.23,Shopping expense
2023-06-09,Transport,8322.17,Transport expense
2023-08-22,Entertainment,6009.84,Entertainment expense
2023-06-08,Healthcare,1193.58,Healthcare expense
2023-10-19,Subscriptions,983.88,Subscriptions expense
2023-11-09,Shopping,9100.79,Shopping expense
2023-11-05,Transport,6708.54,Transport expense
2024-04-03,Subscriptions,8301.4,Subscriptions expense
2024-02-20,Groceries,8795.84,Groceries expense
2023-11-16,Entertainment,5739.13,Entertainment expense
2024-04-05,Utilities,5198.59,Utilities expense
2024-02-28,Dining,4332.75,Dining expense
2024-05-15,Shopping,3203.62,Shopping expense
2024-03-27,Dining,4374.23,Dining expense
2024-04-28,Entertainment,7750.1,Entertainment expense
2023-10-09,Travel,6039.14,Travel expense
2023-10-23,Entertainment,8930.61,Entertainment expense
2023-09-05,Miscellaneous,4461.63,Miscellaneous expense
2023-12-22,Utilities,6090.54,Utilities expense
2023-06-06,Education,6331.51,Education expense
2023-09-04,Education,5937.39,Education expense
2024-01-29,Transport,7041.21,Transport expense
2024-03-02,Utilities,2412.46,Utilities expense
2023-06-17,Utilities,5148.02,Utilities expense
2023-08-11,Education,1087.04,Education expense
2023-06-05,Shopping,3875.89,Shopping expense
2023-06-11,Miscellaneous,4902.29,Miscellaneous expense
2023-10-12,Healthcare,6539.63,Healthcare expense
2023-12-27,Transport,9507.78,Transport expense
2024-01-19,Transport,6026.48,Transport expense
2024-05-31,Groceries,7448.76,Groceries expense
2023-08-30,Groceries,5087.35,Groceries expense
2023-09-23,Entertainment,6359.34,Entertainment expense
2024-03-09,Rent,755.78,Rent expense
2023-06-08,Rent,2581.2,Rent expense
2023-07-29,Utilities,3650.44,Utilities expense
2023-07-28,Healthcare,4751.31,Healthcare expense
2023-07-04,Subscriptions,504.21,Subscriptions expense
2023-08-30,Transport,1443.24,Transport expense
2023-07-17,Groceries,2804.3,Groceries expense
2024-04-24,Miscellaneous,9716.75,Miscellaneous expense
2024-02-15,Travel,3346.9,Travel expense
2023-08-04,Entertainment,4846.31,Entertainment expense
2024-04-18,Entertainment,2001.17,Entertainment expense
2024-04-07,Entertainment,6127.26,Entertainment expense
2024-01-27,Travel,2842.8,Travel expense
2024-05-05,Shopping,2109.58,Shopping expense
2024-05-28,Miscellaneous,5189.9,Miscellaneous expense
2024-01-11,Education,104.78,Education expense
2023-06-14,Utilities,126.26,Utilities expense
2024-04-19,Groceries,2229.73,Groceries expense
2023-07-26,Education,415.38,Education expense
2024-02-16,Subscriptions,1124.86,Subscriptions expense
2023-10-11,Miscellaneous,3421.66,Miscellaneous expense
2024-01-31,Education,8035.73,Education expense
2024-03-12,Entertainment,5741.88,Entertainment expense
2023-08-16,Rent,5151.04,Rent expense
2023-11-11,Travel,2970.21,Travel expense
2024-03-16,Miscellaneous,9320.95,Miscellaneous expense
2023-12-04,Rent,4000.3,Rent expense
2023-12-17,Utilities,916.57,Utilities expense
2023-09-03,Healthcare,6189.81,Healthcare expense
2023-12-05,Groceries,1182.69,Groceries expense
2024-05-26,Dining,3484.97,Dining expense
2024-02-10,Transport,5098.75,Transport expense
2023-10-17,Education,8748.51,Education expense
2023-06-14,Transport,4960.79,Transport expense
2023-12-02,Subscriptions,7037.47,Subscriptions expense
2024-02-10,Rent,9928.53,Rent expense
2024-05-09,Subscriptions,1358.32,Subscriptions expense
2024-02-07,Shopping,2783.58,Shopping expense
2024-05-04,Rent,3976.03,Rent expense
2023-10-07,Dining,4247.19,Dining expense
2023-06-16,Groceries,4139.66,Groceries expense
2024-03-01,Rent,9080.73,Rent expense
2023-07-18,Dining,7154.62,Dining expense
2024-05-13,Groceries,6098.66,Groceries expense
2024-04-23,Healthcare,3128.26,Healthcare expense
2024-01-10,Miscellaneous,8246.71,Miscellaneous expense
2023-10-02,Shopping,9552.85,Shopping expense
2023-11-02,Shopping,8220.92,Shopping expense
2024-01-11,Entertainment,65.57,Entertainment expense
2024-01-20,Shopping,6382.19,Shopping expense
2024-02-01,Travel,558.8,Travel expense
2023-09-03,Transport,2613.19,Transport expense
2024-02-14,Dining,642.27,Dining expense
2023-09-01,Education,6057.76,Education expense
2023-06-17,Rent,6881.57,Rent expense
2024-02-24,Subscriptions,1189.15,Subscriptions expense
2023-06-06,Subscriptions,3869.2,Subscriptions expense
2023-10-31,Miscellaneous,4589.55,Miscellaneous expense
2024-03-28,Transport,3722.08,Transport expense
2023-08-19,Subscriptions,1254.2,Subscriptions expense
2024-04-27,Shopping,4218.53,Shopping expense
2023-08-15,Miscellaneous,7524.22,Miscellaneous expense
2024-04-14,Shopping,756.53,Shopping expense
2023-08-18,Entertainment,847.79,Entertainment expense
2023-06-10,Healthcare,3579.97,Healthcare expense
2023-12-13,Utilities,9420.17,Utilities expense
2024-02-19,Dining,6702.3,Dining expense
2023-10-06,Transport,6802.77,Transport expense
2023-08-05,Utilities,3651.1,Utilities expense
2023-07-29,Entertainment,5956.92,Entertainment expense
2023-06-14,Shopping,150.81,Shopping expense
2023-06-10,Dining,6379.16,Dining expense
2023-08-29,Healthcare,9137.21,Healthcare expense
2023-09-10,Transport,6145.11,Transport expense
2023-12-07,Utilities,8743.3,Utilities expense
2023-06-08,Healthcare,7253.53,Healthcare expense
2023-12-22,Transport,1249.56,Transport expense
2023-06-23,Subscriptions,9029.41,Subscriptions expense
2023-09-26,Utilities,711.12,Utilities expense
2024-03-18,Education,5362.98,Education expense
2023-09-18,Dining,1464.26,Dining expense
2024-03-11,Miscellaneous,166.48,Miscellaneous expense
2023-06-05,Healthcare,4249.24,Healthcare expense
2024-03-25,Transport,2985.66,Transport expense
2024-04-04,Entertainment,4885.7,Entertainment expense
2023-06-12,Education,5793.14,Education expense
2024-05-23,Subscriptions,485.2,Subscriptions expense
2024-05-07,Entertainment,1273.88,Entertainment expense
2023-08-06,Utilities,5608.49,Utilities expense
2024-01-21,Transport,3464.52,Transport expense
2023-06-09,Shopping,7305.28,Shopping expense
2024-01-07,Education,6540.3,Education expense
2023-08-14,Transport,8463.76,Transport expense
2023-09-18,Transport,6940.3,Transport expense
2023-11-09,Shopping,4327.81,Shopping expense
2023-08-26,Utilities,6746.02,Utilities expense
2024-02-13,Miscellaneous,2790.04,Miscellaneous expense
2023-08-29,Entertainment,3097.82,Entertainment expense
2024-05-31,Dining,7900.4,Dining expense
2023-07-09,Entertainment,4491.87,Entertainment expense
2023-12-11,Groceries,7993.88,Groceries expense
2024-03-05,Miscellaneous,8233.1,Miscellaneous expense
2023-06-25,Subscriptions,8582.75,Subscriptions expense
2024-03-07,Groceries,9170.52,Groceries expense
2024-02-22,Rent,4338.3,Rent expense
2024-03-09,Healthcare,3222.72,Healthcare expense
2024-02-19,Rent,5842.88,Rent expense
2023-12-11,Utilities,3743.17,Utilities expense
2023-10-07,Dining,6030.69,Dining expense
2023-06-01,Education,7070.58,Education expense
2024-04-02,Dining,6899.63,Dining expense
2024-03-09,Education,3776.8,Education expense
2024-04-28,Utilities,1710.26,Utilities expense
2023-08-17,Subscriptions,4333.77,Subscriptions expense
2024-04-11,Rent,1468.81,Rent expense
2024-05-23,Subscriptions,8906.47,Subscriptions expense
2023-07-08,Transport,3491.48,Transport expense
2023-07-14,Entertainment,1586.87,Entertainment expense
2024-05-28,Rent,303.21,Rent expense
2023-10-10,Rent,6475.93,Rent expense
2023-11-05,Rent,6387.18,Rent expense
2023-07-26,Rent,3439.01,Rent expense
2024-04-17,Shopping,763.53,Shopping expense
2024-01-18,Transport,4125.81,Transport expense
2024-01-31,Groceries,3146.61,Groceries expense
2023-10-01,Rent,6787.35,Rent expense
2023-07-18,Transport,6077.5,Transport expense
2023-11-07,Dining,3677.71,Dining expense
2023-12-26,Travel,2218.03,Travel expense
2024-02-06,Groceries,9880.96,Groceries expense
2023-09-15,Groceries,4567.32,Groceries expense
2023-08-28,Travel,6898.33,Travel expense
2024-04-03,Shopping,1448.5,Shopping expense
2024-02-01,Dining,4881.62,Dining expense
2023-11-14,Subscriptions,323.99,Subscriptions expense
2023-09-12,Miscellaneous,5079.28,Miscellaneous expense
2023-08-27,Transport,9641.97,Transport expense
2023-12-13,Travel,3872.86,Travel expense
2023-10-23,Subscriptions,438.01,Subscriptions expense
2023-08-08,Utilities,358.01,Utilities expense
2023-06-11,Groceries,3910.47,Groceries expense
2023-06-02,Subscriptions,1642.25,Subscriptions expense
2023-09-10,Groceries,282.35,Groceries expense
2023-11-04,Transport,7574.33,Transport expense
2023-07-14,Rent,4612.3,Rent expense
2024-04-15,Entertainment,2927.99,Entertainment expense
2023-12-29,Groceries,9005.83,Groceries expense
2023-11-25,Entertainment,1205.58,Entertainment expense
2023-07-14,Dining,9561.39,Dining expense
2024-02-16,Education,3173.97,Education expense
2023-09-14,Utilities,8889.62,Utilities expense
2023-06-04,Shopping,6049.28,Shopping expense
2023-10-16,Entertainment,8275.74,Entertainment expense
2024-05-01,Dining,9840.93,Dining expense
2024-04-05,Transport,2919.63,Transport expense
2024-05-20,Utilities,9613.3,Utilities expense
2023-10-07,Transport,3925.34,Transport expense
2024-02-13,Subscriptions,3885.84,Subscriptions expense
2023-09-01,Dining,3436.85,Dining expense
2023-12-26,Utilities,5437.01,Utilities expense
2023-12-29,Travel,1583.74,Travel expense
2024-05-28,Groceries,5559.43,Groceries expense
2024-05-06,Miscellaneous,5439.96,Miscellaneous expense
2023-09-09,Education,7630.92,Education expense
2024-05-01,Miscellaneous,8344.82,Miscellaneous expense
2023-08-24,Travel,4432.39,Travel expense
2023-08-08,Education,3058.22,Education expense
2023-07-02,Dining,2630.38,Dining expense
2024-04-08,Healthcare,1986.51,Healthcare expense
2024-05-02,Dining,623.59,Dining expense
2023-06-24,Miscellaneous,3457.36,Miscellaneous expense
2024-02-25,Miscellaneous,2738.96,Miscellaneous expense
2024-05-11,Transport,9665.85,Transport expense
2023-08-16,Rent,5599.2,Rent expense
2023-11-04,Transport,3505.41,Transport expense
2024-01-05,Rent,5825.65,Rent expense
2024-03-04,Subscriptions,1435.01,Subscriptions expense
2024-02-01,Shopping,4468.24,Shopping expense
2024-04-18,Utilities,6281.03,Utilities expense
2023-10-03,Subscriptions,4914.53,Subscriptions expense
2023-10-21,Transport,4047.7,Transport expense
2024-04-26,Travel,9938.79,Travel expense
2023-07-21,Shopping,8809.13,Shopping expense
2023-07-05,Entertainment,6252.89,Entertainment expense
2024-03-22,Rent,5715.3,Rent expense
2023-06-30,Subscriptions,6225.57,Subscriptions expense
2024-01-17,Entertainment,2053.06,Entertainment expense
2024-04-06,Transport,3981.62,Transport expense
2023-07-13,Miscellaneous,442.62,Miscellaneous expense
2024-04-07,Utilities,4781.68,Utilities expense
2023-07-31,Education,5453.09,Education expense
2024-04-06,Groceries,2316.11,Groceries expense
2023-12-20,Travel,9642.09,Travel expense
2023-10-04,Healthcare,9099.07,Healthcare expense
2023-07-11,Healthcare,7235.33,Healthcare expense
2023-06-30,Utilities,5357.2,Utilities expense
2024-02-29,Utilities,8706.19,Utilities expense
2023-08-30,Transport,1349.99,Transport expense
2023-10-06,Entertainment,7915.57,Entertainment expense
2024-01-14,Healthcare,1291.97,Healthcare expense
2023-10-02,Healthcare,7952.4,Healthcare expense
2023-08-15,Groceries,2793.89,Groceries expense
2023-10-22,Rent,8777.05,Rent expense
2023-10-03,Education,9443.22,Education expense
2023-11-29,Healthcare,1530.52,Healthcare expense
2024-05-06,Rent,4653.62,Rent expense
2023-07-13,Travel,9810.82,Travel expense
2023-12-01,Education,4859.9,Education expense
2023-06-05,Subscriptions,8642.3,Subscriptions expense
2023-09-14,Subscriptions,5907.88,Subscriptions expense
2024-01-01,Transport,3784.53,Transport expense
2024-03-30,Miscellaneous,2893.55,Miscellaneous expense
2024-04-29,Education,2072.07,Education expense
2023-07-01,Travel,7629.89,Travel expense
2024-04-11,Subscriptions,3896.08,Subscriptions expense
2023-12-16,Transport,5137.19,Transport expense
2023-06-06,Shopping,4948.64,Shopping expense
2023-07-23,Subscriptions,5793.93,Subscriptions expense
2024-05-23,Utilities,8662.49,Utilities expense
2024-05-24,Travel,9808.36,Travel expense
2023-06-28,Shopping,4105.46,Shopping expense
2023-06-25,Utilities,8283.81,Utilities expense
2023-06-27,Subscriptions,7657.05,Subscriptions expense
2023-06-02,Utilities,5756.61,Utilities expense
2023-10-12,Subscriptions,9562.67,Subscriptions expense
2024-02-06,Travel,2044.72,Travel expense
2023-12-01,Subscriptions,1137.18,Subscriptions expense
2023-07-28,Subscriptions,8546.92,Subscriptions expense
2024-02-01,Subscriptions,4419.54,Subscriptions expense
2024-04-06,Transport,8477.34,Transport expense
2024-05-14,Travel,8936.25,Travel expense
2023-08-31,Travel,671.45,Travel expense
2023-08-06,Subscriptions,8840.47,Subscriptions expense
2024-03-10,Entertainment,4510.77,Entertainment expense
2024-02-09,Miscellaneous,5128.8,Miscellaneous expense
2023-10-07,Entertainment,6284.6,Entertainment expense
2023-10-23,Rent,9267.51,Rent expense
2024-01-26,Shopping,240.21,Shopping expense
2024-05-09,Utilities,4794.59,Utilities expense
2024-01-12,Shopping,6892.83,Shopping expense
2023-11-19,Groceries,7240.93,Groceries expense
2023-06-21,Travel,6940.7,Travel expense
2024-04-25,Entertainment,1387.63,Entertainment expense
2023-12-18,Healthcare,3028.99,Healthcare expense
2024-03-10,Dining,3619.22,Dining expense
2024-02-07,Shopping,8054.15,Shopping expense
2023-09-17,Shopping,2823.66,Shopping expense
2024-05-20,Dining,2146.51,Dining expense
2024-05-11,Transport,9576.61,Transport expense
2023-08-14,Travel,138.19,Travel expense
2024-01-20,Miscellaneous,9978.32,Miscellaneous expense
2023-11-16,Entertainment,6784.37,Entertainment expense
2024-01-23,Shopping,8293.27,Shopping expense
2024-04-29,Dining,2981.46,Dining expense
2023-10-11,Education,192.44,Education expense
2023-07-26,Education,7391.8,Education expense
2023-09-02,Miscellaneous,8349.74,Miscellaneous expense
2023-08-19,Groceries,7417.74,Groceries expense
2024-05-22,Subscriptions,1471.36,Subscriptions expense
2023-06-12,Miscellaneous,7546.61,Miscellaneous expense
2024-04-21,Groceries,7700.78,Groceries expense
2023-10-13,Miscellaneous,6602.48,Miscellaneous expense
2023-10-07,Travel,7672.85,Travel expense
2023-10-27,Education,8466.92,Education expense
2024-01-11,Utilities,6155.36,Utilities expense
2024-02-15,Education,931.62,Education expense
2023-07-26,Transport,4901.9,Transport expense
2024-03-14,Healthcare,822.61,Healthcare expense
2023-08-24,Entertainment,4105.05,Entertainment expense
2023-12-01,Transport,4100.71,Transport expense
2024-04-09,Rent,706.8,Rent expense
2024-02-04,Education,3520.76,Education expense
2024-05-15,Utilities,1154.43,Utilities expense
2024-02-03,Healthcare,8091.94,Healthcare expense
2023-10-05,Travel,9479.5,Travel expense
2023-08-29,Shopping,769.55,Shopping expense
2023-09-10,Groceries,9553.4,Groceries expense
2024-04-25,Utilities,5249.64,Utilities expense
2023-11-24,Groceries,3030.68,Groceries expense
2024-05-11,Travel,814.78,Travel expense
2023-06-07,Miscellaneous,5031.21,Miscellaneous expense
2023-10-30,Healthcare,7955.43,Healthcare expense
2023-08-16,Miscellaneous,7085.51,Miscellaneous expense
2023-06-01,Groceries,549.75,Groceries expense
2024-02-16,Utilities,775.37,Utilities expense
2024-05-13,Miscellaneous,4058.59,Miscellaneous expense
2023-08-06,Travel,2988.14,Travel expense
2024-01-17,Subscriptions,2362.22,Subscriptions expense
2024-04-13,Entertainment,2845.99,Entertainment expense
2024-01-02,Entertainment,8044.65,Entertainment expense
2024-03-30,Travel,9295.82,Travel expense
2023-06-21,Groceries,4080.77,Groceries expense
2024-01-22,Education,9065.8,Education expense
2023-10-30,Transport,3248.88,Transport expense
2024-01-22,Transport,4790.55,Transport expense
2023-07-22,Transport,2298.99,Transport expense
2024-03-05,Miscellaneous,6422.74,Miscellaneous expense
2024-01-15,Healthcare,9790.86,Healthcare expense
2023-10-05,Subscriptions,6054.76,Subscriptions expense
2023-11-30,Utilities,3610.25,Utilities expense
2024-01-08,Subscriptions,6495.78,Subscriptions expense
2023-11-17,Shopping,1273.06,Shopping expense
2023-06-23,Healthcare,8892.16,Healthcare expense
2023-08-18,Rent,5055.69,Rent expense
2023-10-17,Travel,4521.03,Travel expense
2023-07-23,Utilities,5879.35,Utilities expense
2023-10-04,Shopping,6266.6,Shopping expense
2024-05-05,Groceries,764.17,Groceries expense
2024-01-03,Shopping,6842.04,Shopping expense
2024-01-21,Education,2457.22,Education expense
2023-06-25,Rent,7153.83,Rent expense
2023-12-18,Rent,8234.22,Rent expense
2024-05-11,Shopping,8049.39,Shopping expense
2023-11-05,Entertainment,5547.38,Entertainment expense
2024-05-31,Miscellaneous,5225.69,Miscellaneous expense
2023-10-12,Shopping,1471.62,Shopping expense
2024-05-31,Rent,7764.69,Rent expense
2023-11-08,Education,2750.52,Education expense
2023-06-07,Groceries,4992.12,Groceries expense
2023-07-30,Travel,2878.53,Travel expense
2024-03-25,Education,1381.59,Education expense
2023-11-09,Utilities,6314.1,Utilities expense
2024-02-07,Miscellaneous,590.6,Miscellaneous expense
2024-04-16,Transport,7499.02,Transport expense
2023-06-29,Groceries,3209.99,Groceries expense
2023-07-06,Travel,51.34,Travel expense
2023-12-29,Rent,5135.73,Rent expense
2023-10-06,Groceries,516.18,Groceries expense
2023-10-02,Travel,2797.89,Travel expense
2024-05-17,Travel,7084.42,Travel expense
2023-12-15,Travel,673.76,Travel expense
2023-12-14,Shopping,8401.42,Shopping expense
2023-11-29,Transport,88.01,Transport expense
2023-06-13,Education,2505.9,Education expense
2023-11-29,Subscriptions,7422.0,Subscriptions expense
2023-09-29,Groceries,3196.89,Groceries expense
2023-06-13,Subscriptions,1063.83,Subscriptions expense
2024-03-06,Shopping,3634.33,Shopping expense
2023-08-11,Dining,2740.41,Dining expense
2023-12-27,Entertainment,8434.98,Entertainment expense
2023-06-15,Education,3167.81,Education expense
2023-06-24,Utilities,7899.88,Utilities expense
2024-03-20,Groceries,8924.13,Groceries expense
2023-12-28,Miscellaneous,4366.48,Miscellaneous expense
2023-12-31,Dining,9103.93,Dining expense
2024-02-29,Miscellaneous,3804.31,Miscellaneous expense
2023-11-30,Entertainment,9642.58,Entertainment expense
2024-02-12,Entertainment,938.43,Entertainment expense
2023-12-24,Travel,6885.84,Travel expense
2024-03-08,Subscriptions,4963.45,Subscriptions expense
2023-06-13,Rent,3907.11,Rent expense
2024-04-14,Groceries,6345.48,Groceries expense
2024-01-16,Travel,7053.38,Travel expense
2023-06-20,Transport,93.41,Transport expense
2023-07-17,Groceries,1711.18,Groceries expense
2023-12-28,Groceries,7144.81,Groceries expense
2024-05-21,Utilities,6680.53,Utilities expense
2023-12-04,Transport,9662.17,Transport expense
2024-01-10,Shopping,7622.33,Shopping expense
2024-01-26,Travel,9510.19,Travel expense
2024-05-24,Dining,7040.28,Dining expense
2024-03-03,Utilities,3015.62,Utilities expense
2023-08-27,Dining,1098.38,Dining expense
2024-01-19,Education,7829.15,Education expense
2023-10-06,Shopping,6459.28,Shopping expense
2024-02-26,Transport,529.45,Transport expense
2023-12-29,Utilities,3632.5,Utilities expense
2023-11-11,Rent,9570.16,Rent expense
2023-10-14,Rent,5028.99,Rent expense
2023-09-29,Miscellaneous,4355.65,Miscellaneous expense
2024-04-22,Utilities,4604.11,Utilities expense
2023-09-21,Miscellaneous,2128.38,Miscellaneous expense
2024-02-18,Miscellaneous,3718.64,Miscellaneous expense
2024-04-14,Entertainment,3729.64,Entertainment expense
2023-07-20,Subscriptions,570.93,Subscriptions expense
2023-06-07,Transport,7687.3,Transport expense
2024-05-14,Transport,4194.22,Transport expense
2024-05-31,Travel,8230.69,Travel expense
2023-10-17,Healthcare,8510.96,Healthcare expense
2024-05-04,Education,2159.34,Education expense
2023-10-19,Entertainment,6590.67,Entertainment expense
2023-08-17,Entertainment,4749.2,Entertainment expense
2023-12-09,Utilities,8807.56,Utilities expense
2024-01-07,Shopping,2196.62,Shopping expense
2023-11-12,Transport,6794.24,Transport expense
2023-11-03,Miscellaneous,6097.13,Miscellaneous expense
2024-05-26,Transport,2988.25,Transport expense
2024-03-17,Groceries,1409.18,Groceries expense
2023-12-09,Subscriptions,6533.82,Subscriptions expense
2024-03-29,Shopping,7399.04,Shopping expense
2023-07-20,Healthcare,3190.49,Healthcare expense
2023-11-04,Healthcare,6466.08,Healthcare expense
2023-07-30,Healthcare,3981.55,Healthcare expense
2024-03-26,Education,7146.41,Education expense
2023-12-04,Shopping,2032.19,Shopping expense
2023-07-22,Groceries,8907.64,Groceries expense
2023-10-02,Travel,2909.73,Travel expense
2024-05-06,Transport,3709.47,Transport expense
2024-03-17,Groceries,628.01,Groceries expense
2023-12-26,Groceries,1159.55,Groceries expense
2023-07-10,Dining,5182.83,Dining expense
2024-05-09,Groceries,2712.55,Groceries expense
2024-04-14,Entertainment,8363.03,Entertainment expense
2023-11-22,Dining,196.2,Dining expense
2023-08-23,Healthcare,3821.99,Healthcare expense
2024-04-09,Entertainment,3406.59,Entertainment expense
2024-05-30,Dining,242.31,Dining expense
2024-02-09,Subscriptions,1287.47,Subscriptions expense
2024-02-06,Healthcare,4165.74,Healthcare expense
2023-11-05,Shopping,4954.0,Shopping expense
2023-06-06,Entertainment,4072.68,Entertainment expense
2024-02-15,Transport,5332.83,Transport expense
2023-12-23,Healthcare,5971.56,Healthcare expense
2023-06-12,Rent,148.74,Rent expense
2023-06-10,Healthcare,4667.75,Healthcare expense
2023-11-07,Groceries,9636.82,Groceries expense
2023-08-20,Transport,5214.37,Transport expense
2024-03-24,Subscriptions,6791.55,Subscriptions expense
2023-12-25,Subscriptions,3153.05,Subscriptions expense
2023-06-25,Miscellaneous,7751.21,Miscellaneous expense
2023-08-15,Groceries,7740.57,Groceries expense
2024-01-21,Education,5236.9,Education expense
2023-10-26,Miscellaneous,9761.34,Miscellaneous expense
2024-05-24,Groceries,1299.22,Groceries expense
2023-07-22,Shopping,218.63,Shopping expense
2023-07-04,Miscellaneous,7713.07,Miscellaneous expense
2023-10-30,Groceries,8081.2,Groceries expense
2023-08-18,Rent,1246.06,Rent expense
2024-02-12,Healthcare,2692.55,Healthcare expense
2024-02-26,Transport,224.65,Transport expense
2024-02-10,Transport,2968.42,Transport expense
2023-07-18,Shopping,7742.76,Shopping expense
2023-11-29,Transport,5203.71,Transport expense
2023-06-17,Entertainment,3513.55,Entertainment expense
2023-10-15,Dining,3748.81,Dining expense
2024-02-27,Subscriptions,63.47,Subscriptions expense
2023-11-19,Entertainment,3033.02,Entertainment expense
2024-02-12,Travel,6482.26,Travel expense
2024-02-23,Miscellaneous,9743.23,Miscellaneous expense
2023-10-21,Rent,8478.26,Rent expense
2024-03-06,Miscellaneous,284.77,Miscellaneous expense
2024-04-14,Dining,8990.68,Dining expense
2023-11-08,Groceries,7842.82,Groceries expense
2024-01-06,Education,7814.74,Education expense
2023-10-30,Dining,4607.06,Dining expense
2023-10-15,Miscellaneous,4010.15,Miscellaneous expense
2023-08-19,Shopping,3064.01,Shopping expense
2023-12-05,Shopping,703.66,Shopping expense
2023-12-03,Subscriptions,2320.94,Subscriptions expense
2023-12-08,Subscriptions,2503.71,Subscriptions expense
2024-05-16,Education,4866.57,Education expense
2024-05-07,Entertainment,7487.07,Entertainment expense
2023-09-18,Transport,4764.41,Transport expense
2023-10-18,Miscellaneous,625.55,Miscellaneous expense
2023-11-23,Utilities,9580.01,Utilities expense
2023-06-05,Education,9430.11,Education expense
2024-01-13,Rent,7862.64,Rent expense
2024-05-22,Rent,9913.71,Rent expense
2023-09-16,Utilities,5467.6,Utilities expense
2024-01-16,Dining,9629.55,Dining expense
2024-05-05,Subscriptions,802.27,Subscriptions expense
2023-10-27,Rent,3688.52,Rent expense
2024-03-12,Dining,2292.54,Dining expense
2023-12-08,Shopping,1998.54,Shopping expense
2024-05-26,Groceries,1450.99,Groceries expense
2023-09-11,Rent,6243.02,Rent expense
2023-12-09,Miscellaneous,7824.15,Miscellaneous expense
2024-05-23,Miscellaneous,5804.07,Miscellaneous expense
2023-11-29,Travel,1512.28,Travel expense
2023-07-28,Subscriptions,8120.68,Subscriptions expense
2024-05-16,Subscriptions,6377.75,Subscriptions expense
2024-02-10,Utilities,3912.25,Utilities expense
2023-07-22,Utilities,6757.6,Utilities expense
2023-09-10,Travel,2636.05,Travel expense
2024-04-18,Travel,3484.66,Travel expense
2024-05-16,Travel,9178.98,Travel expense
2023-11-09,Travel,2940.52,Travel expense
2023-08-11,Rent,4726.38,Rent expense
2023-09-15,Miscellaneous,8906.9,Miscellaneous expense
2023-06-30,Entertainment,7091.83,Entertainment expense
2023-11-02,Subscriptions,668.92,Subscriptions expense
2024-03-13,Dining,1515.67,Dining expense
2023-11-13,Education,128.02,Education expense
2023-08-19,Rent,6327.67,Rent expense
2023-09-24,Utilities,4504.35,Utilities expense
2023-11-10,Groceries,1386.03,Groceries expense
2023-12-31,Travel,9581.44,Travel expense
2023-09-02,Education,5320.11,Education expense
2024-05-07,Dining,2456.84,Dining expense
2023-12-15,Shopping,5031.01,Shopping expense
2023-07-07,Travel,6812.22,Travel expense
2023-10-24,Shopping,808.58,Shopping expense
2024-02-03,Entertainment,2783.3,Entertainment expense
2024-01-25,Healthcare,8079.31,Healthcare expense
2023-07-29,Groceries,4623.67,Groceries expense
2023-10-30,Transport,5488.44,Transport expense
2023-10-30,Travel,4356.52,Travel expense
2023-08-06,Subscriptions,486.8,Subscriptions expense
2023-09-25,Transport,1699.21,Transport expense
2023-10-30,Shopping,4483.14,Shopping expense
2024-01-19,Travel,2131.4,Travel expense
2023-11-24,Subscriptions,547.29,Subscriptions expense
2024-02-18,Transport,8444.31,Transport expense
2024-03-21,Rent,9812.87,Rent expense
2024-03-12,Subscriptions,7941.77,Subscriptions expense
